date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-08-12,112434.62058798628,3404.591116061828,2580.1982373519945,731,300,295,283,259,236,89,113,9,0
2020-08-13,112499.41822860089,2644.99587796659,2745.6462893000466,704,434,258,294,286,261,131,111,20,0
2020-08-14,112501.63145363107,2747.8595143302264,2655.0072088402767,796,440,290,246,280,228,99,108,15,0
2020-08-15,112616.41612525501,2769.7918804642322,1182.0002643958321,580,164,105,81,65,60,27,29,4,0
2020-08-16,113615.23204687897,2180.816186019788,1258.760264395832,553,257,76,90,58,39,14,20,3,0
2020-08-17,114302.24796850292,1945.776186019788,3061.9666136021815,737,725,453,254,255,184,90,83,20,0
2020-08-18,113770.44642980942,2530.165074908677,2893.080501366122,705,388,434,260,317,266,111,105,26,0
2020-08-19,113830.14125978386,2952.775331340567,2718.2233585089793,780,321,309,298,301,226,87,100,23,0
2020-08-20,113879.26466118688,2767.3467599119954,2864.9576352385393,769,415,274,319,312,283,106,118,21,0
2020-08-21,113944.77799969682,2930.4709737484736,2671.856353187257,825,400,238,249,310,231,86,85,25,0
2020-08-22,114202.5810817965,2929.659435286935,1268.3563531872571,580,171,99,76,79,71,28,26,5,0
2020-08-23,115141.88416389617,2207.659435286935,1320.8896865205904,540,275,101,76,94,56,31,7,10,0
2020-08-24,115764.42057932919,1943.4261019536016,3091.176928928938,762,742,400,278,246,212,102,102,22,0
2020-08-25,115384.63417351272,2711.390523112476,3063.9102622622718,746,414,465,329,333,251,128,116,30,0
2020-08-26,115741.11443436293,3420.390523112476,2722.8016908337,876,331,310,266,295,213,127,92,26,0
2020-08-27,115836.55183807027,2818.2390945410475,2813.4572463892555,715,415,264,305,352,269,110,102,46,0
2020-08-28,116023.38924177762,3000.294650096603,2871.057246389256,883,474,266,276,329,215,93,80,46,0
2020-08-29,116091.02664548498,2938.694650096603,1226.8572463892556,577,182,107,68,97,59,25,17,7,0
2020-08-30,117170.00849363676,2305.8390945410474,1239.5239130559223,575,246,99,67,81,66,17,13,6,0
2020-08-31,118079.49034178855,2149.005761207714,3293.5239130559225,766,754,496,252,235,236,110,120,24,0
2020-09-01,117588.97218994035,2803.005761207714,3230.86207730713,796,401,469,292,344,213,173,155,49,0
2020-09-02,117297.28737142547,2939.177258792255,2957.2811249261777,780,367,353,294,371,240,124,99,53,0
2020-09-03,117395.1290608471,3055.1228143478106,3075.580279260216,817,418,295,349,379,283,121,110,43,0
2020-09-04,117325.12191305944,3005.5731314725463,3081.980279260216,902,435,288,302,339,286,125,122,63,0
2020-09-05,117261.41476527177,3018.2731314725465,1276.9802792602156,551,179,97,107,98,65,31,19,16,0
2020-09-06,118169.70761748409,2185.2731314725465,1302.8802792602157,601,244,103,90,61,45,32,28,8,0
2020-09-07,118780.35046969642,1913.5231314725463,1187.5508813853633,470,263,119,89,69,41,29,15,7,0
2020-09-08,119583.13486723212,1990.3352789210576,3469.1619924964743,708,630,652,362,336,238,120,119,42,0
2020-09-09,118942.41926476781,2828.4463900321684,3271.528659163141,750,375,568,321,362,252,133,120,48,0
2020-09-10,118517.83699563684,2846.9463900321684,3001.9382551227372,687,373,371,318,359,272,148,131,52,0
2020-09-11,118455.516847718,2939.6181072038858,2887.3997935842754,805,399,274,277,341,259,126,112,36,0
2020-09-12,118449.84413569658,2881.7270815628603,1246.566460250942,540,186,97,105,98,53,36,28,9,0
2020-09-13,119408.33809034183,2205.0604148961934,1228.6228705073524,569,220,66,82,80,49,29,22,5,0
2020-09-14,120105.89871165375,1926.1834918192703,3297.781744966227,670,725,444,313,309,250,134,121,45,0
2020-09-15,119493.10695201329,2684.989985325764,2999.61507829956,712,370,444,321,343,261,120,130,65,0
2020-09-16,119418.64852570616,2925.1566519924304,3037.11507829956,858,354,347,290,348,277,136,140,50,0
2020-09-17,119212.19009939903,2830.6566519924304,2947.5396814741634,760,404,276,274,417,249,147,109,50,0
2020-09-18,119141.76738737761,2877.116969452748,2890.1935276280096,842,438,335,245,351,232,103,121,48,0
2020-09-19,119089.63313689466,2838.0592771450556,1245.1935276280096,573,164,90,76,107,74,47,31,15,0
2020-09-20,120035.9988864117,2191.5592771450556,1256.0935276280095,583,217,94,77,95,55,20,24,13,0
2020-09-21,120706.45554501965,1926.5501862359647,3265.0935276280097,710,753,508,249,343,222,122,127,57,0
2020-09-22,120127.41220362761,2686.0501862359647,2996.149083183565,686,345,428,285,334,265,175,114,59,0
2020-09-23,119931.92441779112,2800.661297347076,2995.4404266976353,754,381,361,295,360,276,162,148,59,0
2020-09-24,119656.52279514799,2720.038804054507,2950.1113944395706,747,383,259,301,403,289,122,136,48,0
2020-09-25,119439.8447759667,2733.433375258284,2730.1113944395706,794,397,244,259,314,237,108,123,43,0
2020-09-26,119662.16675678542,2952.433375258284,1277.1113944395706,577,168,108,87,116,78,40,33,19,0
2020-09-27,120472.98873760413,2087.933375258284,1234.774185137245,517,265,88,76,82,52,22,23,10,0
2020-09-28,121127.35723005075,1889.1426775838652,3508.8005009267185,716,762,467,271,255,265,346,175,45,0
2020-09-29,120473.22572249737,2854.6689933733387,3016.8005009267185,695,386,445,276,353,298,145,162,57,0
2020-09-30,120221.094214944,2764.6689933733387,3179.383834260052,786,367,399,341,397,350,153,204,82,0
2020-10-01,120298.96270739062,3257.252326706672,3245.043341419559,902,318,219,237,300,225,101,113,42,0
2020-10-02,119943.44025744629,2889.520891475237,2700.055869974666,732,417,272,250,305,207,92,116,48,0
2020-10-03,119902.53281582617,2659.148428354545,1293.7225366413327,484,173,102,76,93,81,40,28,8,0
2020-10-04,120543.62537420605,1934.8150950212116,1070.9928618445847,409,191,81,69,60,36,23,16,9,0
2020-10-05,121137.4740301469,1664.8415177854392,2877.0813466930695,557,615,367,227,241,234,121,145,62,0
2020-10-06,120713.27420123927,2452.8815177854394,3306.5813466930695,635,355,415,268,343,335,194,209,85,0
2020-10-07,120427.57437233164,3020.881517785439,2592.4563466930695,667,296,301,244,271,196,112,145,70,0
2020-10-08,120367.12454342401,2532.0065177854394,2659.4563466930695,612,366,265,260,329,222,125,143,50,0
2020-10-09,120269.67471451638,2562.0065177854394,2458.1794236161463,653,356,249,245,267,198,105,114,31,0
2020-10-10,120421.74155227542,2610.2462613751827,1164.096090282813,458,160,98,85,72,45,28,25,10,0
2020-10-11,121127.97505670112,1870.3295947085162,1145.846090282813,437,209,82,71,71,41,16,18,9,0
2020-10-12,121696.70856112683,1714.5795947085162,2226.719055028171,522,502,311,167,183,159,80,64,17,0
2020-10-13,121571.68764551598,2101.698139417329,2918.7242542750887,528,389,505,271,284,223,115,148,57,0
2020-10-14,121393.67830614743,2740.7149149065385,2888.8956884752465,691,336,380,283,290,248,129,152,62,0
2020-10-15,121076.42101563625,2571.638397964064,2572.901640856199,652,321,298,272,263,232,102,126,42,0
2020-10-16,121063.04467750603,2559.525302725969,2685.969822674381,738,385,269,337,279,241,95,142,48,0
2020-10-17,120790.26682422428,2413.1919693926357,1198.443506884907,424,152,119,86,69,58,19,29,4,0
2020-10-18,121348.32230427586,1756.4989869364954,1031.943506884907,333,183,77,60,50,45,17,21,10,0
2020-10-19,121982.14445099412,1665.765653603162,2650.087951329351,613,583,375,196,214,179,99,120,28,0
2020-10-20,121704.36659771237,2372.3100980476065,2692.629617996018,609,344,353,237,277,259,133,157,50,0
2020-10-21,121507.04707776396,2495.3100980476065,2653.823104586056,677,303,292,238,303,209,132,137,60,0
2020-10-22,121510.92832914041,2657.7043559625085,2707.1436174065693,683,374,247,296,347,282,156,213,50,0
2020-10-23,121375.62958051686,2571.8448687830214,2719.5072537702054,661,393,244,238,284,204,80,142,51,0
2020-10-24,121351.57325613574,2695.450929389082,1327.0072537702056,493,167,104,90,94,61,38,32,7,0
2020-10-25,121853.01693175462,1828.4509293890821,1191.0072537702056,399,252,60,68,67,53,22,31,7,0
2020-10-26,122243.46060737349,1581.4509293890821,2973.5770735900255,571,677,391,227,271,235,128,177,55,0
2020-10-27,121632.90653524462,2363.0230014611543,2733.0770735900255,563,300,387,245,302,264,138,186,71,0
2020-10-28,121298.85246311575,2399.0230014611543,2936.657629145581,569,323,354,262,320,238,121,223,99,0
2020-10-29,120765.00672432022,2402.811890350043,2616.097023084975,600,332,265,253,310,248,128,152,48,0
2020-10-30,120542.43154829524,2393.52184706,2602.7636897516413,642,388,229,276,285,230,94,138,42,0
2020-10-31,120354.85637227027,2415.1885137266663,1138.487827682676,443,151,87,70,85,52,26,28,11,0
2020-11-01,120985.98809279701,1769.619548209425,1099.2878276826762,393,180,79,64,67,42,24,38,12,0
2020-11-02,121704.21981332377,1817.519548209425,2732.737827682676,624,623,321,215,241,216,108,132,39,0
2020-11-03,121192.5515338505,2221.069548209425,2377.225327682676,626,382,385,280,308,242,128,160,55,0
2020-11-04,120979.26450437726,2163.938298209425,2385.725327682676,429,231,193,163,219,169,90,124,37,0
2020-11-05,120856.97747490401,2263.438298209425,2604.5586610160094,699,261,268,249,304,259,102,123,55,0
2020-11-06,120853.40473114504,2600.985917257044,2642.731737939086,705,329,232,234,326,298,114,130,44,0
2020-11-07,120851.23583353992,2640.562840333967,1188.8150712724196,494,171,80,73,68,66,31,42,14,0
2020-11-08,121556.44193593481,1894.0211736673004,1143.0150712724196,410,224,79,67,72,56,27,24,8,0
2020-11-09,122041.64803832969,1628.2211736673005,2774.9446346849863,524,652,375,206,255,225,105,135,42,0
2020-11-10,121573.79975988282,2307.0963562381294,2693.5835235738755,591,308,368,249,332,247,134,149,49,0
2020-11-11,121443.34037032486,2563.124134015907,1344.0835235738753,392,159,170,91,126,110,44,68,15,0
2020-11-12,121965.88098076689,1866.6241340159072,2704.8335235738755,506,505,264,246,333,263,125,160,46,0
2020-11-13,121648.67159120893,2387.624134015907,2689.300190240542,681,418,304,261,271,241,124,157,52,0
2020-11-14,121516.02886831762,2556.6574673492405,1208.300190240542,435,118,107,78,72,64,24,37,16,0
2020-11-15,122078.38614542632,1770.6574673492405,1112.550190240542,378,177,62,73,85,58,37,45,16,0
